3875,0x400ee1
3876,0x400ee4
1135,0x405cef
1136,0x405cf6
1137,0x405cf7
1138,0x405cf8
1139,0x405cfa
1140,0x405cfc
1141,0x405cfe
1142,0x405d00
3867,0x400e87
3868,0x400e8c
3859,0x400e90
3860,0x400e93
3920,0x400f64
3921,0x400f67
3939,0x400fc7
3940,0x400fca
3941,0x400fcc
3797,0x405db9
3798,0x405dbb
3885,0x400f06
3886,0x400f09
291,0x404ed0
292,0x404ed2
293,0x404ed4
294,0x404ed7
295,0x404ed9
296,0x404edb
297,0x404edc
298,0x404edd
299,0x404ee0
300,0x404ee5
301,0x404ee8
302,0x404eef
303,0x404ef6
304,0x404efb
305,0x404f00
1892,0x700000
3887,0x400f0b
3888,0x400f10
3889,0x400f12
1891,0x400ab0
575,0x400bd0
3869,0x400ea4
3870,0x400ead
3871,0x400eb2
3872,0x400eb7
1912,0x405e30
1913,0x405e34
1914,0x405e38
1915,0x405e3b
1916,0x405e3f
1917,0x405e43
1918,0x405e47
1919,0x405e4b
1920,0x405e4f
1921,0x405e53
1926,0x405e58
1927,0x405e5b
3902,0x400f35
3903,0x400f3a
3904,0x400f3d
3905,0x400f42
3906,0x400f46
3933,0x400f7a
3934,0x400f83
3935,0x400f88
3936,0x400f8d
3937,0x400f90
3938,0x400f93
663,0x700090
3897,0x400f17
3898,0x400f20
3899,0x400f25
3900,0x400f2a
3901,0x400f2f
3861,0x400e95
3862,0x400e9a
3863,0x400e9c
3864,0x400e9f
3922,0x400f69
3923,0x400f6e
3924,0x400f73
3925,0x400f75
3873,0x400edc
3874,0x400edf
